Compound;m/z;Charge;Retention time (min);CCS (angstrom^2);Chromatographic peak width (min);Identifications;Anova (p);q Value;Max Fold Change;Highest Mean;Lowest Mean;Isotope Distribution;Maximum Abundance;Minimum CV%;16.0257_P001_01 [1];16.0257_P002_01 [1];16.0257_P004 [1];16.0269_P004 [1];16.0269_P005 [1];16.0269_P006 [1];17.0421_P001 [1];17.0421_P002 [1];17.0421_P003 [1];17.0421_P004 [1];17.0421_P005 [1];17.0421_P006 [1];17.0421_P007 [1];17.0421_P008_02 [1];ts1512_171_B [1];ts1605_382_P003_E001 [1];ts1605_382_P004_E001 [1];ts1707_313_P002_E008 [1];ts1707_313_P002_E001 [1];16.0043_P003 [1];16.0043_P011 [1];16.0230_P014 [1];16.0230_P015 [1];16.0259_P001 [1];16.0280_P002 [1];16.0334_P001 [1];16.0352_P001 [1];16.0352_P002 [1];16.0394_P001 [1];16.0394_P003 [1];16.0394_P004 [1];16.0394_P006 [1];16.0394_P016 [1];16.0412_P004 [1];16.0412_P005 [1];16.0436_P003 [1];16.0436_P004 [1];20180607_Blank_1 [1];20180607_Blank_2 [1];20180607_Blank_3 [1];20180607_Blank_4 [1];20180607_Blank_5 [1];20180607_Blank_6 [1];Blank 1 [1];Blank 2 [1];Blank 3 [1];Blank 4 [1];Blank 5 [1];Blank 6 [1];Blank 7 [1];Blank 8 [1];Blank 9 [1];Blank 10 [1];Blank 11 [1];Blank b1 [1];Blank b2 [1];Blank b3 [1];Blank b4 [1];Blank b5 [1];Blank b6 [1];Blank b7 [1];Blank b8 [1];Blank b9 [1];Blank b10 [1];Blank b11 [1];Blank b12 [1];Blank b13 [1];Blank b14 [1];Blank b15 [1];Blank b16 [1];16.0187_P001 [1];16.0187_P008 [1];16.0269_P002 [1];16.0269_P003 [1];16.0437_P002_01 [1];16.0455_P002_5ug_mL [1];17.0315_P005_5ug_mL [1];17.0477_P003_5ug_mL [1];17.03150_P001_5ug_mL [1];ts1512_170_P008_E001 [1];ts1603_373_P001_E001 [1];ts1605_141_P002_E001 [1];ts1605_406_P002_02_E001 [1];ts1609_167_P004_E001 [1];ts1610_343_P003_E001_50ug_mL [1];ts1610_343_P004_E001_50ug_mL [1];ts1611_309_P001_E001 [1];ts1707_313_P001_E001 [1]
12.16_636.2978n;637.3051187;1;12.15581667;259.3151998;0.133733333;0;0;0;Infinity;Cocaine;Heroin;100 - 25.1;2542.479502;68.66;3654.134614;4301.298232;2917.597857;3233.667794;3898.052816;3639.359757;4292.803794;0;0;0;0;1471.862391;2280.795709;2612.125776;3.11162111;4637.379135;4535.183669;2967.585363;3862.152013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.919647131;1.422576973;0.592642795;0;0;0.520260788;0;0;0;0;0;0;0;0.215653381;0.307250977;0;0;0;0;0;0;0;0;0;0;0;0.309277746;0;0;0;0;0;0;0;0;0;0.491046177;0.285935492;1.576180334;1.158597696;0;0.669351465;0;0;0.693203849;0.861062846;0;0.255524075;0.147955873;0;0.466053569
12.89_175.0154m/z;175.0154004;1;12.8918;136.4045009;0.684233333;0;0;0;Infinity;Heroin;NPS;100 - 3.38;2286.380742;23.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.250533202;0;0;0;0;2227.163817;2152.83211;3550.753991;2174.920513;2432.786266;2680.605741;2500.494674;2732.431276;2895.583217;3016.597686;1351.477103;1654.952533;1786.104776;1832.864022;1886.357504;1927.215462;2179.135838;2172.576824;0;0;0;0;0.392015993;0.314241217;0.085560521;0;0;0;0;0;0;0;0;0;0;1565.199196;1722.688638;1885.737484;1819.318692;1996.838695;2146.061702;2185.127289;2259.111687;2356.352043;1867.603045;2503.413879;2486.201327;2436.4505;2849.644677;2759.794468;2734.572497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12_408.0476m/z;408.0475791;1;13.11596667;191.8956908;0.349566667;0;0;0;Infinity;Cocaine;Heroin;100 - 14.2;1042.736665;170.98;18.35788483;11.71640529;82.66684036;59.21195792;44.07416765;34.91049806;9.201332151;2672.989983;5762.517586;4559.15033;4538.371943;961.0869711;475.7522248;308.5162479;81.3331854;1.759295324;0.609457242;183.9216084;5.848726225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.275652833;0;0;0;1.254901076;0;0.196617599;0.203816195;0;0.238985894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.066034323;0;0.520506078;0.58790461;0.226877093;0;0;0;0;0;0;0.208783631;0;0;0;0;0.08629037;0.425958216
5.20_414.3413m/z;414.341285;1;5.200783333;191.7123807;0.183933333;0;0;0;Infinity;Heroin;Cocaine;100;1007.748846;65.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;607.3665435;586.7618079;2051.391322;955.9454584;1106.683629;707.5984076;1006.28099;2594.956121;978.2836185;2208.251165;548.7664085;589.6257669;368.7204936;1467.127062;448.2143233;333.9860845;726.6080364;852.9119943;0;0;0.012679351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.11_370.3416m/z;370.3415934;1;4.10715;183.6462988;0.167216667;0;0;0;Infinity;Heroin;Cocaine;100 - 4.6;935.5853907;73.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;614.2279471;530.7669812;1996.296192;753.8252047;1165.630027;683.8292712;1052.72538;2448.949535;901.7483274;2404.189794;626.9506766;682.7353328;229.1010715;1223.039663;195.4566665;207.8255728;502.8380326;620.4013564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.87_351.9848m/z;351.9848376;1;12.86671667;167.7836831;0.717416667;0;0;0;Infinity;Cocaine;Heroin;100 - 10.7;626.5801355;163.04;7.171380135;1.684801987;76.68286348;54.32956209;27.58373918;13.39397368;1.03369387;1185.595315;3173.621556;2556.251239;2576.425725;1051.927908;563.1375797;332.4930485;71.16973072;0;0;212.1854904;0.334967727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0957814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.131349256;0;0;0;0;0;0;0;0;0;0;0;0;0
9.28_456.1650m/z;456.1650057;1;9.275416667;202.0676703;0.183933333;0;0;0;Infinity;Heroin;Cocaine;100 - 19.2;536.0226403;108.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355.56621;313.3717187;1565.913627;120.6109277;337.4564393;373.1516683;171.6222906;1793.328746;396.7431203;1968.736791;357.0724765;378.6372915;205.617192;472.1068319;145.9842426;172.9645616;221.5608293;297.9625603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.097781121;0;0;0;0;0;0;0;0
12.16_654.3314m/z;654.3313972;1;12.15581667;285.4813904;0.125383333;0;0;0;Infinity;Cocaine;Heroin;100 - 30.4 - 2.3;471.6053579;68.27;729.1782398;822.294036;551.999145;533.7518533;651.4348885;633.6019208;799.3210372;0;0;0;0;301.0296392;449.9142561;523.5948592;0;828.5690583;877.6892426;544.7048222;713.418802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5.19_826.2959n;849.2851319;1;5.192416667;286.1951557;0.11705;0;0;0;Infinity;Heroin;Cocaine;100 - 32.1 - 2.05;399.7386989;131.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.13877495;82.89471443;1224.879693;281.7663741;352.3888047;109.1111976;264.6634577;1883.147782;193.5959137;1163.754203;104.5668885;128.1342169;27.90875352;832.2928114;61.09589849;17.05253834;146.5385453;243.366012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.09_370.2778m/z;370.2777905;1;4.09045;183.6483526;0.11705;0;0;0;Infinity;Heroin;Cocaine;100;386.0871767;79.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235.6495711;217.6736289;866.7725379;285.2839337;457.8715894;265.0007748;422.0823972;1046.004963;370.4148871;1050.573393;259.203349;296.1395958;81.66549006;519.5301275;60.91254668;65.27159896;193.5179229;256.0008738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
